num,manufacturer,manufacturerUrl,modelName,productUrl,note,Rsensitivity,Wsensitivity,Z866,Z915,Z953
0xb045,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4325,https://www.emmicroelectronic.com/product/epc-and-uhf-ics/em4325 ,,0,0,0j,0j,0j
0xb046,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4325,https://www.emmicroelectronic.com/product/epc-and-uhf-ics/em4325 ,,0,0,0j,0j,0j
0xb047,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4325,https://www.emmicroelectronic.com/product/epc-and-uhf-ics/em4325 ,,0,0,0j,0j,0j
0xb048,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4325,https://www.emmicroelectronic.com/product/epc-and-uhf-ics/em4325 ,,0,0,0j,0j,0j
0xb049,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4325,https://www.emmicroelectronic.com/product/epc-and-uhf-ics/em4325 ,,0,0,0j,0j,0j
0xb04a,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4325,https://www.emmicroelectronic.com/product/epc-and-uhf-ics/em4325 ,,0,0,0j,0j,0j
0xb04b,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4325,https://www.emmicroelectronic.com/product/epc-and-uhf-ics/em4325 ,,0,0,0j,0j,0j
0xb04c,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4325,https://www.emmicroelectronic.com/product/epc-and-uhf-ics/em4325 ,,0,0,0j,0j,0j
0xb04d,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4325,https://www.emmicroelectronic.com/product/epc-and-uhf-ics/em4325 ,,0,0,0j,0j,0j
0xb04e,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4325,https://www.emmicroelectronic.com/product/epc-and-uhf-ics/em4325 ,,0,0,0j,0j,0j
0xb04f,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4325,https://www.emmicroelectronic.com/product/epc-and-uhf-ics/em4325 ,,0,0,0j,0j,0j
0xb080,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4124,https://www.emmicroelectronic.com/product/epc-and-uhf-ics/em4124 ,,-19,-8,25-276j,22-261j,20-251j
0xb081,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4124,https://www.emmicroelectronic.com/product/epc-and-uhf-ics/em4124 ,,-19,-8,25-276j,22-261j,20-251j
0xb082,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4124,https://www.emmicroelectronic.com/product/epc-and-uhf-ics/em4124 ,,-19,-8,25-276j,22-261j,20-251j
0xb083,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4124,https://www.emmicroelectronic.com/product/epc-and-uhf-ics/em4124 ,,-19,-8,25-276j,22-261j,20-251j
0xb084,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4124,https://www.emmicroelectronic.com/product/epc-and-uhf-ics/em4124 ,,-19,-8,25-276j,22-261j,20-251j
0xb085,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4124,https://www.emmicroelectronic.com/product/epc-and-uhf-ics/em4124 ,,-19,-8,25-276j,22-261j,20-251j
0xb086,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4124,https://www.emmicroelectronic.com/product/epc-and-uhf-ics/em4124 ,,-19,-8,25-276j,22-261j,20-251j
0xb087,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4124,https://www.emmicroelectronic.com/product/epc-and-uhf-ics/em4124 ,,-19,-8,25-276j,22-261j,20-251j
0xb088,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4124,https://www.emmicroelectronic.com/product/epc-and-uhf-ics/em4124 ,,-19,-8,25-276j,22-261j,20-251j
0xb089,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4124,https://www.emmicroelectronic.com/product/epc-and-uhf-ics/em4124 ,,-19,-8,25-276j,22-261j,20-251j
0xb08a,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4124,https://www.emmicroelectronic.com/product/epc-and-uhf-ics/em4124 ,,-19,-8,25-276j,22-261j,20-251j
0xb08b,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4124,https://www.emmicroelectronic.com/product/epc-and-uhf-ics/em4124 ,,-19,-8,25-276j,22-261j,20-251j
0xb08c,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4124,https://www.emmicroelectronic.com/product/epc-and-uhf-ics/em4124 ,,-19,-8,25-276j,22-261j,20-251j
0xb08d,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4124,https://www.emmicroelectronic.com/product/epc-and-uhf-ics/em4124 ,,-19,-8,25-276j,22-261j,20-251j
0xb08e,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4124,https://www.emmicroelectronic.com/product/epc-and-uhf-ics/em4124 ,,-19,-8,25-276j,22-261j,20-251j
0xb08f,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4124,https://www.emmicroelectronic.com/product/epc-and-uhf-ics/em4124 ,,-19,-8,25-276j,22-261j,20-251j
0xb0a0,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4423,https://www.emmicroelectronic.com/product/nfc-high-frequency-ics/em-echo ,,0,0,0j,0j,0j
0xb0a1,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4423,https://www.emmicroelectronic.com/product/nfc-high-frequency-ics/em-echo ,,0,0,0j,0j,0j
0xb0a2,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4423,https://www.emmicroelectronic.com/product/nfc-high-frequency-ics/em-echo ,,0,0,0j,0j,0j
0xb0a3,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4423,https://www.emmicroelectronic.com/product/nfc-high-frequency-ics/em-echo ,,0,0,0j,0j,0j
0xb0a4,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4423,https://www.emmicroelectronic.com/product/nfc-high-frequency-ics/em-echo ,,0,0,0j,0j,0j
0xb0a5,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4423,https://www.emmicroelectronic.com/product/nfc-high-frequency-ics/em-echo ,,0,0,0j,0j,0j
0xb0a6,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4423,https://www.emmicroelectronic.com/product/nfc-high-frequency-ics/em-echo ,,0,0,0j,0j,0j
0xb0a7,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4423,https://www.emmicroelectronic.com/product/nfc-high-frequency-ics/em-echo ,,0,0,0j,0j,0j
0xb0c0,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4126,https://www.emmicroelectronic.com/product/epc-and-uhf-ics/em4126 ,,0,0,0j,0j,0j
0xb0c1,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4126,https://www.emmicroelectronic.com/product/epc-and-uhf-ics/em4126 ,,0,0,0j,0j,0j
0xb0c2,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4126,https://www.emmicroelectronic.com/product/epc-and-uhf-ics/em4126 ,,0,0,0j,0j,0j
0xb0c3,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4126,https://www.emmicroelectronic.com/product/epc-and-uhf-ics/em4126 ,,0,0,0j,0j,0j
0xb0c4,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4126,https://www.emmicroelectronic.com/product/epc-and-uhf-ics/em4126 ,,0,0,0j,0j,0j
0xb0c5,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4126,https://www.emmicroelectronic.com/product/epc-and-uhf-ics/em4126 ,,0,0,0j,0j,0j
0xb0c6,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4126,https://www.emmicroelectronic.com/product/epc-and-uhf-ics/em4126 ,,0,0,0j,0j,0j
0xb0c7,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4126,https://www.emmicroelectronic.com/product/epc-and-uhf-ics/em4126 ,,0,0,0j,0j,0j
0xb100,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4227,https://www.emmicroelectronic.com/product/epc-and-uhf-ics/em-aura-c ,,0,0,0j,0j,0j
0xb101,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4227,https://www.emmicroelectronic.com/product/epc-and-uhf-ics/em-aura-c ,,0,0,0j,0j,0j
0xb102,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4227,https://www.emmicroelectronic.com/product/epc-and-uhf-ics/em-aura-c ,,0,0,0j,0j,0j
0xb103,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4227,https://www.emmicroelectronic.com/product/epc-and-uhf-ics/em-aura-c ,,0,0,0j,0j,0j
0xb104,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4227,https://www.emmicroelectronic.com/product/epc-and-uhf-ics/em-aura-c ,,0,0,0j,0j,0j
0xb105,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4227,https://www.emmicroelectronic.com/product/epc-and-uhf-ics/em-aura-c ,,0,0,0j,0j,0j
0xb106,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4227,https://www.emmicroelectronic.com/product/epc-and-uhf-ics/em-aura-c ,,0,0,0j,0j,0j
0xb107,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4227,https://www.emmicroelectronic.com/product/epc-and-uhf-ics/em-aura-c ,,0,0,0j,0j,0j
0xb110,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4425,https://www.emmicroelectronic.com/product/nfc-high-frequency-ics/em-echo-v ,,0,0,0j,0j,0j
0xb111,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4425,https://www.emmicroelectronic.com/product/nfc-high-frequency-ics/em-echo-v ,,0,0,0j,0j,0j
0xb112,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4425,https://www.emmicroelectronic.com/product/nfc-high-frequency-ics/em-echo-v ,,0,0,0j,0j,0j
0xb113,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4425,https://www.emmicroelectronic.com/product/nfc-high-frequency-ics/em-echo-v ,,0,0,0j,0j,0j
0xb114,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4425,https://www.emmicroelectronic.com/product/nfc-high-frequency-ics/em-echo-v ,,0,0,0j,0j,0j
